gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	regulation
ENSG00000196616	ENSG00000196616	872.512049484636	2.39540423537671	0.781799102674523	3.06396390988691	0.00218425258431126	0.033439309155947	Upregulated
ENSG00000225614	ENSG00000225614	44.2951865403609	2.38177249564783	0.464439180366842	5.12827641665925	2.9240689709358e-07	5.06874064889127e-05	Upregulated
ENSG00000041982	ENSG00000041982	6212.99800022436	2.3729664130632	0.557263405254425	4.25824913441031	2.06034259461837e-05	0.00135471077910976	Upregulated
ENSG00000142945	ENSG00000142945	51.0462874983722	2.36646139196217	0.420419178943322	5.62881407529983	1.81452856929265e-08	5.76657179321205e-06	Upregulated
ENSG00000150995	ENSG00000150995	99.4026025884034	2.36568613213992	0.399753952124687	5.91785551979244	3.26166284646246e-09	1.24386774312692e-06	Upregulated
ENSG00000167900	ENSG00000167900	108.982699690801	2.35119714446927	0.369359785155144	6.3656013430961	1.9452608221012e-10	1.32472261985092e-07	Upregulated
ENSG00000099998	ENSG00000099998	277.839535458108	2.29873023630212	0.700211228560707	3.28290970287235	0.00102741569480506	0.0215515021760342	Upregulated
ENSG00000013810	ENSG00000013810	109.019174732964	2.2479319044678	0.365457790110306	6.15100283890325	7.6994540829869e-10	3.64278161327444e-07	Upregulated
ENSG00000178999	ENSG00000178999	32.162430719282	2.20830454195366	0.501757892412746	4.40113563801626	1.0768577892512e-05	0.000850520504472086	Upregulated
ENSG00000114270	ENSG00000114270	295.141331264293	2.1932129884177	0.609367318507499	3.59916411958137	0.000319241674544189	0.00981822621001386	Upregulated
ENSG00000126787	ENSG00000126787	46.3505863852378	2.16718654016355	0.51867978721751	4.17827452230125	2.93728992991969e-05	0.00178370205043658	Upregulated
ENSG00000101412	ENSG00000101412	47.845136977799	2.15722780414304	0.367619121316254	5.86810554472554	4.40802632847239e-09	1.61638934675599e-06	Upregulated
ENSG00000076382	ENSG00000076382	42.6635355881224	2.1495158719586	0.393361685866864	5.46447696659027	4.64273657199782e-08	1.26468144221221e-05	Upregulated
ENSG00000137309	ENSG00000137309	603.297001326384	2.1171544010578	0.450847038552666	4.69594833727733	2.65372612982484e-06	0.000290811780709771	Upregulated
ENSG00000171241	ENSG00000171241	70.0811879512937	2.11373407334869	0.493533255843126	4.28286047256876	1.84505878950879e-05	0.00125648503565548	Upregulated
ENSG00000139910	ENSG00000139910	51.4814884379301	2.09418967894419	0.574754212913345	3.64362649614877	0.000268823441261479	0.0086697109759029	Upregulated
ENSG00000183421	ENSG00000183421	61.9686157805569	2.09097408040615	0.486597118555227	4.29713617420205	1.7301891413552e-05	0.00121291347600592	Upregulated
ENSG00000175063	ENSG00000175063	76.7759592503307	2.0729999525554	0.520746593340867	3.98082287827559	6.86771100633446e-05	0.00310316382627454	Upregulated
ENSG00000162551	ENSG00000162551	95.5045797047665	2.06069722999145	0.699654169508158	2.94530829629741	0.0032263300974661	0.0423095103097972	Upregulated
ENSG00000046653	ENSG00000046653	70.6683879043824	2.05087296465838	0.393574420370303	5.21088988133112	1.87936983410689e-07	3.65671673436227e-05	Upregulated
