MEgrey60	MEblue	MEblack	MEdarkturquoise	MEsteelblue	MEgreenyellow	MEpink	MElightyellow	MEbrown	MEgreen	MEdarkorange	MElightgreen	MEcyan	MEdarkmagenta	MEmidnightblue	MEwhite	MEgrey
E8_S56_L001_R1_001	-0.276938266734027	0.0290811178315546	0.232539684707685	0.281225646952519	0.0168030050142502	-0.214160930265117	0.0587457189666987	0.37755753557366	0.00272522012391597	-0.0463882474000338	-0.0798049751315517	-0.172575626337934	-0.07195419555773	0.0601787877778184	0.139153800782403	0.147681029271456	-0.203632468397245
E8_S56_L002_R1_001	0.0564966965954069	-0.202059784066439	0.0203325244070699	0.00351239783236329	-0.0609859685160169	-0.19921757603384	-0.20994567818518	0.426614252947981	-0.0179099747337745	0.0297256816112811	-0.00361423775458566	-0.117815114528694	-0.160681329203481	0.0937844412788077	-0.0711565333135309	0.117081281624418	-0.0886283331045828
E9_S57_L001_R1_001	0.0910150403740347	0.175804970478473	-0.162643822958441	0.0923242299480848	0.120985208402727	0.115140143813862	0.436248919955093	0.0786968611476534	-0.212697958726283	-0.0376851106279893	0.0684979169716675	0.102783891430146	0.192555723709241	0.137107852651137	-0.0509708434883094	-0.246518553634779	-0.190357910544044
E9_S57_L002_R1_001	0.156986884284064	0.173394066909218	-0.177006067293058	0.104585615209661	0.0789204101678946	0.116700653718976	0.319067646629203	-0.0317979360470341	-0.290982403544313	-0.0794896071789166	0.06272785724693	0.0635675343079119	0.222240344765404	0.227470630741211	-0.0337226980866678	-0.190312192960816	-0.238515055237524
E10_S58_L001_R1_001	-0.0552389340612706	0.135909353033234	0.0670910584073782	0.139847322151918	0.300306064213648	0.441522713806326	0.255604104251743	-0.279256618011827	0.066166660987081	0.0208471361795476	-0.141982591604813	0.131678847971434	0.0362289525703066	-0.129162561024403	-0.0378488666226273	-0.155941925645171	0.0356519453205816
E10_S58_L002_R1_001	0.0488854309745697	0.028718618401017	-0.0379316735891731	-0.0050082555760471	0.269835501521059	0.411070768525797	0.208688012700327	-0.147272161905172	0.0979876808339648	0.076775398496392	-0.107877887200733	0.154535525610478	-0.0411181737085721	-0.177424577139069	-0.163809991231965	-0.188384123172209	0.0975596129875648
81_2D_D_S19	-0.308810755848988	0.0340121072983828	-0.113311213215715	-0.0940236642509293	-0.0890970746830884	0.130240497816151	-0.0280197051298889	0.285549400022442	0.271446597045018	0.428376255828305	0.344972235012054	0.463195779683359	-0.00984279475624356	-0.365719810418357	0.169521094092638	-0.133663243391155	0.328591650796157
82_2D_H_S21	0.0583799435612915	0.44676240226273	0.422547521625506	0.494746702580587	0.416174909729304	-0.239363838478874	0.106085042162822	0.169348232969946	-0.14976648283888	-0.177961071941724	-0.429412639449068	-0.375324523052333	-0.368963728210531	-0.394871293620232	0.281837808897811	-0.340447700276725	-0.469213550741024
81_3D_D_S20	-0.430466641215516	-0.0201942003513182	0.0617454026761293	-0.00421760921098209	-0.0721437638126465	0.212718210466269	-0.173171191533261	0.189620149411707	0.430270564616641	0.477253156638493	0.348107685024748	0.420160915591184	0.0659322775370768	-0.257948091568036	0.110475415860756	0.161306342369359	0.412225192617349
82_3D_H_S22	-0.106989538802606	-0.345887851063743	0.310752623563542	-0.157458074149214	0.00951409954946773	0.139067872902492	-0.47922895434174	-0.251635229973864	0.337067481019373	-0.248464098163178	-0.35337351435311	-0.335234951995511	-0.353771103755096	-0.117426744294201	0.0830437497914819	0.367321283162277	0.30667365978356
