Genes	Modules
2032	ENSG00000159199	blue
2033	ENSG00000159200	white
2034	ENSG00000159202	brown
2035	ENSG00000159210	grey
2036	ENSG00000159228	blue
2037	ENSG00000159335	grey60
2038	ENSG00000159346	darkturquoise
2039	ENSG00000159352	blue
2040	ENSG00000159377	blue
2041	ENSG00000159388	lightyellow
2042	ENSG00000159461	green
2043	ENSG00000159593	black
2044	ENSG00000159720	darkmagenta
2045	ENSG00000160007	brown
2046	ENSG00000160013	darkmagenta
2047	ENSG00000160014	green
2048	ENSG00000160049	darkmagenta
2049	ENSG00000160075	blue
2050	ENSG00000160209	darkorange
2051	ENSG00000160211	green
2052	ENSG00000160213	blue
2053	ENSG00000160255	grey
2054	ENSG00000160310	darkmagenta
2055	ENSG00000160563	blue
2056	ENSG00000160691	brown
2057	ENSG00000160710	brown
2058	ENSG00000160789	lightgreen
2059	ENSG00000160888	lightyellow
2060	ENSG00000160991	darkmagenta
2061	ENSG00000161016	blue
2062	ENSG00000161057	darkturquoise
2063	ENSG00000161203	lightgreen
2064	ENSG00000161281	cyan
2065	ENSG00000161638	green
2066	ENSG00000161671	darkorange
2067	ENSG00000161714	green
2068	ENSG00000161970	blue
2069	ENSG00000162191	darkorange
2070	ENSG00000162244	darkturquoise
2071	ENSG00000162368	black
2072	ENSG00000162407	pink
2073	ENSG00000162430	darkorange
2074	ENSG00000162433	darkturquoise
2075	ENSG00000162434	black
2076	ENSG00000162441	darkmagenta
2077	ENSG00000162493	white
2078	ENSG00000162496	grey60
2079	ENSG00000162521	black
2080	ENSG00000162551	green
2081	ENSG00000162576	darkorange
2082	ENSG00000162585	darkmagenta
2083	ENSG00000162591	steelblue
2084	ENSG00000162607	black
2085	ENSG00000162614	darkmagenta
2086	ENSG00000162627	black
2087	ENSG00000162692	lightyellow
2088	ENSG00000162695	darkmagenta
2089	ENSG00000162704	darkturquoise
2090	ENSG00000162729	darkorange
2091	ENSG00000162733	black
2092	ENSG00000162734	blue
2093	ENSG00000162736	green
2094	ENSG00000162745	brown
2095	ENSG00000162783	lightyellow
2096	ENSG00000162804	green
2097	ENSG00000162889	brown
2098	ENSG00000162909	greenyellow
2099	ENSG00000162923	brown
2100	ENSG00000162998	green
2101	ENSG00000163001	grey
2102	ENSG00000163069	black
2103	ENSG00000163110	darkmagenta
2104	ENSG00000163171	darkturquoise
2105	ENSG00000163191	blue
2106	ENSG00000163297	grey
2107	ENSG00000163344	darkmagenta
2108	ENSG00000163346	darkorange
2109	ENSG00000163359	brown
2110	ENSG00000163399	brown
2111	ENSG00000163428	black
2112	ENSG00000163430	darkturquoise
2113	ENSG00000163444	black
2114	ENSG00000163453	darkturquoise
2115	ENSG00000163466	darkturquoise
2116	ENSG00000163468	blue
2117	ENSG00000163479	blue
2118	ENSG00000163485	darkorange
2119	ENSG00000163513	green
2120	ENSG00000163520	blue
2121	ENSG00000163527	black
2122	ENSG00000163531	white
2123	ENSG00000163541	blue
2124	ENSG00000163565	black
2125	ENSG00000163584	blue
2126	ENSG00000163605	black
2127	ENSG00000163634	blue
2128	ENSG00000163636	darkturquoise
2129	ENSG00000163644	darkmagenta
2130	ENSG00000163659	black
2131	ENSG00000163661	pink
2132	ENSG00000163682	black
2133	ENSG00000163683	darkmagenta
2134	ENSG00000163704	darkmagenta
2135	ENSG00000163710	lightgreen
2136	ENSG00000163714	black
2137	ENSG00000163739	midnightblue
2138	ENSG00000163812	green
2139	ENSG00000163815	grey
2140	ENSG00000163827	darkmagenta
2141	ENSG00000163832	darkmagenta
2142	ENSG00000163882	blue
2143	ENSG00000163900	darkmagenta
2144	ENSG00000163902	black
2145	ENSG00000163931	grey
2146	ENSG00000163938	black
2147	ENSG00000163956	green
2148	ENSG00000163964	darkmagenta
2149	ENSG00000163975	darkmagenta
2150	ENSG00000164022	darkmagenta
2151	ENSG00000164032	darkturquoise
2152	ENSG00000164040	darkmagenta
2153	ENSG00000164050	green
2154	ENSG00000164054	darkorange
2155	ENSG00000164080	darkmagenta
2156	ENSG00000164091	darkmagenta
2157	ENSG00000164096	blue
2158	ENSG00000164104	darkturquoise
2159	ENSG00000164106	lightyellow
2160	ENSG00000164111	steelblue
2161	ENSG00000164163	black
2162	ENSG00000164172	steelblue
2163	ENSG00000164176	black
2164	ENSG00000164182	blue
2165	ENSG00000164190	darkmagenta
2166	ENSG00000164253	black
2167	ENSG00000164258	blue
2168	ENSG00000164283	greenyellow
2169	ENSG00000164292	white
2170	ENSG00000164294	darkturquoise
2171	ENSG00000164305	black
2172	ENSG00000164308	darkmagenta
2173	ENSG00000164346	black
2174	ENSG00000164402	brown
2175	ENSG00000164405	blue
2176	ENSG00000164442	lightyellow
2177	ENSG00000164484	grey60
2178	ENSG00000164543	darkturquoise
2179	ENSG00000164574	green
2180	ENSG00000164587	blue
2181	ENSG00000164609	darkmagenta
2182	ENSG00000164611	steelblue
2183	ENSG00000164619	grey
2184	ENSG00000164647	blue
2185	ENSG00000164692	green
2186	ENSG00000164694	steelblue
2187	ENSG00000164713	blue
2188	ENSG00000164733	brown
2189	ENSG00000164754	black
2190	ENSG00000164761	blue
2191	ENSG00000164880	darkorange
2192	ENSG00000164889	green
2193	ENSG00000164902	darkmagenta
2194	ENSG00000164919	blue
2195	ENSG00000164924	black
2196	ENSG00000164932	steelblue
2197	ENSG00000164934	darkturquoise
2198	ENSG00000164944	darkmagenta
2199	ENSG00000164949	brown
2200	ENSG00000164985	darkmagenta
2201	ENSG00000165030	blue
2202	ENSG00000165102	brown
2203	ENSG00000165119	black
2204	ENSG00000165124	green
2205	ENSG00000165280	brown
2206	ENSG00000165283	blue
2207	ENSG00000165410	steelblue
2208	ENSG00000165416	darkturquoise
2209	ENSG00000165424	green
2210	ENSG00000165434	darkmagenta
2211	ENSG00000165476	black
2212	ENSG00000165502	blue
2213	ENSG00000165507	lightyellow
2214	ENSG00000165525	darkmagenta
2215	ENSG00000165527	black
2216	ENSG00000165629	darkturquoise
2217	ENSG00000165632	darkmagenta
2218	ENSG00000165633	darkmagenta
2219	ENSG00000165637	darkturquoise
2220	ENSG00000165672	darkturquoise
2221	ENSG00000165678	black
2222	ENSG00000165732	darkmagenta
2223	ENSG00000165757	brown
2224	ENSG00000165775	darkturquoise
2225	ENSG00000165802	green
2226	ENSG00000165912	darkorange
2227	ENSG00000165915	green
2228	ENSG00000165916	white
2229	ENSG00000165934	black
2230	ENSG00000166012	darkturquoise
2231	ENSG00000166025	brown
2232	ENSG00000166033	grey
2233	ENSG00000166073	steelblue
2234	ENSG00000166130	blue
2235	ENSG00000166147	green
2236	ENSG00000166164	darkmagenta
2237	ENSG00000166165	darkorange
2238	ENSG00000166181	black
2239	ENSG00000166200	black
2240	ENSG00000166226	black
2241	ENSG00000166250	black
2242	ENSG00000166272	darkmagenta
2243	ENSG00000166275	darkmagenta
2244	ENSG00000166295	cyan
2245	ENSG00000166311	darkorange
2246	ENSG00000166441	blue
2247	ENSG00000166479	black
2248	ENSG00000166482	green
2249	ENSG00000166503	darkmagenta
2250	ENSG00000166557	white
2251	ENSG00000166595	blue
2252	ENSG00000166598	darkmagenta
2253	ENSG00000166681	blue
2254	ENSG00000166734	black
2255	ENSG00000166741	blue
2256	ENSG00000166750	black
2257	ENSG00000166794	blue
2258	ENSG00000166825	green
2259	ENSG00000166833	green
2260	ENSG00000166848	darkmagenta
2261	ENSG00000166888	lightgreen
2262	ENSG00000166913	steelblue
2263	ENSG00000166949	green
2264	ENSG00000166963	darkmagenta
2265	ENSG00000166986	black
2266	ENSG00000167004	blue
2267	ENSG00000167088	darkturquoise
2268	ENSG00000167110	darkmagenta
2269	ENSG00000167123	darkmagenta
2270	ENSG00000167157	pink
2271	ENSG00000167244	lightyellow
2272	ENSG00000167283	blue
2273	ENSG00000167291	green
2274	ENSG00000167315	darkturquoise
2275	ENSG00000167325	steelblue
2276	ENSG00000167460	black
2277	ENSG00000167468	darkorange
2278	ENSG00000167470	darkmagenta
2279	ENSG00000167522	darkmagenta
2280	ENSG00000167526	blue
2281	ENSG00000167552	steelblue
2282	ENSG00000167553	darkturquoise
2283	ENSG00000167601	darkmagenta
2284	ENSG00000167635	black
2285	ENSG00000167657	darkmagenta
2286	ENSG00000167658	grey
2287	ENSG00000167670	grey60
2288	ENSG00000167671	cyan
2289	ENSG00000167772	pink
2290	ENSG00000167779	cyan
2291	ENSG00000167792	white
2292	ENSG00000167815	blue
2293	ENSG00000167863	blue
2294	ENSG00000167900	greenyellow
2295	ENSG00000167930	lightgreen
2296	ENSG00000167978	darkmagenta
2297	ENSG00000167986	brown
2298	ENSG00000168002	blue
