gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	regulation
ENSG00000175063	ENSG00000175063	76.7759592503307	2.07300182001957	0.52074655736579	3.9808267394141	6.86759944069388e-05	0.0031031134155249	Upregulated
ENSG00000162551	ENSG00000162551	95.5045797047665	2.06070027207174	0.699654059782276	2.94531310618422	0.00322627993786648	0.0423097195339947	Upregulated
ENSG00000046653	ENSG00000046653	70.6683879043824	2.05087358284097	0.393574252370358	5.21089367632483	1.8793313867295e-07	3.65664192675083e-05	Upregulated
ENSG00000182379	ENSG00000182379	46.1524137753072	2.04874481066433	0.421239583711958	4.86360942770575	1.15264253516014e-06	0.000152629082364121	Upregulated
ENSG00000088826	ENSG00000088826	179.812419695861	2.04186783755151	0.318552078733275	6.40983994099492	1.45672489966428e-10	1.06833963026148e-07	Upregulated
ENSG00000131747	ENSG00000131747	345.754694247681	1.99497944076234	0.426069617623285	4.68228514365986	2.8369447651871e-06	0.00030052701545882	Upregulated
ENSG00000227036	ENSG00000227036	40.2642042672726	1.98687014558175	0.51400966630835	3.86543342628472	0.000110892094817225	0.00451814201704027	Upregulated
ENSG00000135744	ENSG00000135744	175.784314956073	1.94834668023086	0.672868757228669	2.89558202740082	0.00378456105658813	0.0462106829713741	Upregulated
ENSG00000169679	ENSG00000169679	35.473049369057	1.93735825361847	0.481713795107773	4.02180355492006	5.77542165336712e-05	0.00276556214364365	Upregulated
ENSG00000087586	ENSG00000087586	53.5253677977706	1.92788893388597	0.457045062818002	4.21815941298914	2.46304663826716e-05	0.00154491359534468	Upregulated
ENSG00000168078	ENSG00000168078	66.4813277623745	1.9242241607671	0.559078945414597	3.44177539960865	0.000577909868351494	0.014931687492854	Upregulated
ENSG00000146670	ENSG00000146670	47.6287107437743	1.91632187731892	0.37332621111801	5.1331029545985	2.85003900313382e-07	5.03190219553293e-05	Upregulated
ENSG00000185033	ENSG00000185033	78.5607815483412	1.91497049787654	0.427320080043435	4.48134919772995	7.41726344781104e-06	0.000660898969265705	Upregulated
ENSG00000088325	ENSG00000088325	153.531046509989	1.90696847166265	0.405020252297821	4.70832868441454	2.49756145831445e-06	0.000278419332207291	Upregulated
ENSG00000138180	ENSG00000138180	52.9549749711007	1.90607476407913	0.50777660238723	3.75376643019397	0.000174197191771961	0.0064123398700922	Upregulated
ENSG00000111206	ENSG00000111206	57.538486965212	1.90295844104266	0.313572749726395	6.06863460776827	1.29002268331363e-09	5.59048921032368e-07	Upregulated
ENSG00000122952	ENSG00000122952	53.9253550035364	1.86651531087798	0.467103943825136	3.99593138861771	6.44403967400183e-05	0.00296799392521418	Upregulated
ENSG00000090889	ENSG00000090889	40.5069796228653	1.8527393853197	0.402811649978457	4.59951787744666	4.23469852257106e-06	0.000416222842414355	Upregulated
ENSG00000170577	ENSG00000170577	444.372810536467	1.83761756258576	0.613948192648345	2.99311502923229	0.00276145647522033	0.0382670436551608	Upregulated
ENSG00000130193	ENSG00000130193	39.8031833792205	1.82896762800129	0.385483527805832	4.7446064385987	2.08912107971817e-06	0.000251193761251883	Upregulated
ENSG00000170323	ENSG00000170323	84.620916020024	1.82198940946558	0.580495483916693	3.13867973127428	0.00169710822960073	0.0291535673171413	Upregulated
ENSG00000130816	ENSG00000130816	223.871265102071	1.82146135403794	0.413160428324033	4.40860554198429	1.04038317260957e-05	0.000840594336242343	Upregulated
ENSG00000172889	ENSG00000172889	43.3795035897372	1.8193399832619	0.504802169924403	3.60406529855914	0.000313278294533212	0.00969738720805078	Upregulated
